date,cat_code,cat_name,qty_net,qty_sold,qty_returned,revenue_net,n_items,avg_retail_price,avg_wholesale_price
2020-07-01,1011010101,花叶类,205.40200000000002,205.40200000000002,0.0,1503.7896,16,7.3212,4.828
2020-07-01,1011010201,花菜类,46.64,47.076,0.436,592.53,2,12.7163,8.4085
2020-07-01,1011010402,水生根茎类,4.85,4.85,0.0,70.2838,2,14.4915,9.2342
2020-07-01,1011010501,茄类,35.374,35.374,0.0,176.81799999999998,2,4.9985,4.0914
2020-07-01,1011010504,辣椒类,76.715,76.715,0.0,759.9902,9,9.9067,5.3191
2020-07-01,1011010801,食用菌,35.364999999999995,35.364999999999995,0.0,368.602,5,10.4228,6.5019
2020-07-02,1011010101,花叶类,198.362,198.362,0.0,1409.6647,16,7.1065,4.1626
2020-07-02,1011010201,花菜类,43.943,43.943,0.0,546.032,2,12.4259,7.8359
2020-07-02,1011010402,水生根茎类,4.6,4.6,0.0,53.1208,2,11.548,7.0937
2020-07-02,1011010501,茄类,32.199,32.199,0.0,172.09199999999998,2,5.3446,2.473
2020-07-02,1011010504,辣椒类,66.06400000000001,66.06400000000001,0.0,669.7044,10,10.1372,5.7044
2020-07-02,1011010801,食用菌,48.510000000000005,48.510000000000005,0.0,605.929,5,12.4908,7.3129
2020-07-03,1011010101,花叶类,190.779,191.779,1.0,1399.5065,16,7.3335,4.3895
2020-07-03,1011010201,花菜类,42.076,42.076,0.0,495.368,2,11.7732,7.4261
2020-07-03,1011010402,水生根茎类,9.572000000000001,9.572000000000001,0.0,76.693,1,8.0122,5.61
2020-07-03,1011010501,茄类,35.896,35.896,0.0,196.243,2,5.467,3.9641
2020-07-03,1011010504,辣椒类,64.253,64.253,0.0,670.6646,10,10.4379,6.2537
2020-07-03,1011010801,食用菌,42.44199999999999,42.44199999999999,0.0,546.2950000000001,5,12.8716,7.3578
2020-07-04,1011010101,花叶类,236.587,236.587,0.0,1841.4,13,7.7832,4.8071
2020-07-04,1011010201,花菜类,55.662,55.662,0.0,702.1859999999999,2,12.6152,8.2175
2020-07-04,1011010402,水生根茎类,5.439,5.439,0.0,118.75319999999999,2,21.8336,14.0151
2020-07-04,1011010501,茄类,57.067,57.067,0.0,327.403,2,5.7372,3.115
2020-07-04,1011010504,辣椒类,81.28200000000001,81.28200000000001,0.0,826.4166,10,10.1673,5.7147
2020-07-04,1011010801,食用菌,47.262,47.262,0.0,578.7036,5,12.2446,7.3352
2020-07-05,1011010101,花叶类,223.899,223.899,0.0,1573.1793,13,7.0263,4.2734
2020-07-05,1011010201,花菜类,55.474000000000004,55.474000000000004,0.0,697.982,2,12.5821,8.3972
2020-07-05,1011010402,水生根茎类,4.019,4.019,0.0,40.19,1,10.0,5.42
2020-07-05,1011010501,茄类,61.816,61.816,0.0,411.3631,3,6.6546,4.0219
2020-07-05,1011010504,辣椒类,98.496,98.496,0.0,1016.2366,10,10.3175,6.0411
2020-07-05,1011010801,食用菌,73.213,73.213,0.0,732.6238000000001,5,10.0067,5.8855
2020-07-06,1011010101,花叶类,195.74,195.74,0.0,1511.5968,14,7.7225,4.8642
2020-07-06,1011010201,花菜类,42.721000000000004,42.721000000000004,0.0,506.3038,2,11.8514,7.8191
2020-07-06,1011010402,水生根茎类,3.089,3.089,0.0,30.7757,1,9.963,5.45
2020-07-06,1011010501,茄类,30.727000000000004,30.727000000000004,0.0,201.412,3,6.5549,3.3204
2020-07-06,1011010504,辣椒类,58.682,58.682,0.0,645.2908,10,10.9964,6.2249
2020-07-06,1011010801,食用菌,40.578,40.578,0.0,487.60300000000007,6,12.0164,7.1784
2020-07-07,1011010101,花叶类,172.052,175.052,3.0,1328.409,15,7.7046,4.7932
2020-07-07,1011010201,花菜类,45.749,45.749,0.0,526.991,2,11.5192,7.3143
2020-07-07,1011010402,水生根茎类,3.117,3.117,0.0,31.17,1,10.0,5.46
2020-07-07,1011010501,茄类,32.112,32.112,0.0,186.848,2,5.8186,3.2776
2020-07-07,1011010504,辣椒类,42.213,42.213,0.0,531.0704,10,12.5807,6.8122
2020-07-07,1011010801,食用菌,52.56,52.56,0.0,622.3339,7,11.8405,6.9649
2020-07-08,1011010101,花叶类,152.57,158.57,6.0,1210.445,16,7.8946,4.8436
2020-07-08,1011010201,花菜类,45.43300000000001,45.43300000000001,0.0,532.102,2,11.7118,7.3418
2020-07-08,1011010402,水生根茎类,10.605,10.605,0.0,155.484,2,14.6614,8.2124
2020-07-08,1011010501,茄类,39.67,39.67,0.0,232.2832,2,5.8554,3.5347
2020-07-08,1011010504,辣椒类,65.88,65.88,0.0,768.061,10,11.6585,6.4542
2020-07-08,1011010801,食用菌,43.968,43.968,0.0,565.4192,5,12.8598,7.6078
2020-07-09,1011010101,花叶类,187.439,187.439,0.0,1395.7574,15,7.4465,4.5449
