item_name,cat,cost,loss_%,price,markup_%,demand,order,profit
净藕(1),水生根茎类,10.38,5.54,16.06,54.7,7.42,7.86,37.61
洪湖藕带,水生根茎类,18.0,24.05,27.85,54.7,4.68,6.16,19.41
菱角,水生根茎类,9.16,9.61,14.17,54.7,2.23,2.5,8.7
高瓜(1),水生根茎类,11.67,29.25,18.05,54.7,3.45,4.88,5.38
云南生菜(份),花叶类,3.49,9.43,6.07,74.0,31.91,35.23,70.81
云南油麦菜(份),花叶类,2.84,9.43,4.94,74.0,23.6,26.05,42.62
娃娃菜,花叶类,4.4,2.48,7.66,74.0,11.71,12.01,36.81
竹叶菜,花叶类,2.15,13.62,3.74,74.0,17.15,19.85,21.47
菠菜(份),花叶类,4.07,9.43,7.08,74.0,7.26,8.02,18.79
木耳菜,花叶类,3.12,7.61,5.43,74.0,7.59,8.21,15.57
苋菜,花叶类,2.21,18.52,3.85,74.0,11.36,13.95,12.88
上海青,花叶类,4.09,14.43,7.12,74.0,5.47,6.39,12.77
奶白菜,花叶类,2.56,15.68,4.45,74.0,8.76,10.39,12.42
小青菜(1),花叶类,2.7,10.33,4.7,74.0,6.85,7.64,11.55
红薯尖,花叶类,2.6,8.42,4.52,74.0,6.6,7.21,11.12
云南生菜,花叶类,5.68,15.25,9.88,74.0,2.01,2.5,5.71
西兰花,花菜类,7.59,9.26,12.35,62.7,16.1,17.75,64.17
枝江青梗散花,花菜类,8.39,9.43,13.65,62.7,4.39,4.85,19.28
紫茄子(2),茄类,3.43,6.07,5.79,68.8,14.1,15.02,30.16
长线茄,茄类,7.0,6.9,11.82,68.8,5.43,5.83,23.31
青茄子(1),茄类,3.98,5.01,6.72,68.8,3.34,3.51,8.44
小米椒(份),辣椒类,2.11,9.43,3.65,73.1,35.16,38.82,46.51
螺丝椒,辣椒类,8.97,10.18,15.53,73.1,7.43,8.27,41.14
芜湖青椒(1),辣椒类,3.63,5.7,6.28,73.1,16.48,17.48,40.12
螺丝椒(份),辣椒类,4.29,9.43,7.43,73.1,11.6,12.8,31.19
红椒(2),辣椒类,12.72,9.43,22.02,73.1,2.4,2.65,19.12
小皱皮(份),辣椒类,2.1,9.43,3.64,73.1,12.05,13.3,15.86
姜蒜小米椒组合装(小份),辣椒类,2.33,9.43,4.03,73.1,9.77,10.79,14.28
青红杭椒组合装(份),辣椒类,3.32,9.43,5.75,73.1,2.68,2.96,5.58
西峡花菇(1),食用菌,15.6,10.8,26.04,66.9,5.56,6.24,47.56
双孢菇(盒),食用菌,3.41,0.2,5.69,66.9,11.64,11.67,26.48
金针菇(盒),食用菌,1.45,0.45,2.42,66.9,16.99,17.06,16.37
海鲜菇(包),食用菌,1.95,0.0,3.25,66.9,9.95,9.95,12.98
